date,portfolio_return,benchmark_market,benchmark_HML,benchmark_SMB,benchmark_momentum,benchmark_quality,structural_market,structural_HML,structural_SMB,structural_momentum,structural_quality,tactical_market,tactical_HML,tactical_SMB,tactical_momentum,tactical_quality
2023-01-02,0.00168586,0.758493,0.823093,0.520191,0.475086,0.902443,0.234697,0.219743,0.250463,0.309665,0.184229,0.067094,0.043394,0.055988,0.083688,0.060201
2023-01-03,0.01580473,0.74193,0.839836,0.542903,0.436292,0.991215,0.224542,0.232289,0.253495,0.298985,0.207302,0.064064,0.046727,0.059878,0.08094,0.058185
2023-01-04,0.0128417,0.731433,0.845734,0.509608,0.401214,0.975578,0.246384,0.216518,0.23117,0.319149,0.195758,0.067915,0.047543,0.058577,0.082562,0.059062
2023-01-05,0.02685678,0.815417,0.827879,0.573331,0.450089,0.963025,0.241397,0.211728,0.24096,0.309182,0.186845,0.068747,0.045268,0.056253,0.080728,0.061443
2023-01-06,-4.443e-05,0.826729,0.797053,0.543223,0.488865,0.94251,0.229422,0.24462,0.228626,0.334584,0.216349,0.065026,0.047168,0.061003,0.079888,0.059987
2023-01-09,-0.00213528,0.828498,0.835528,0.521489,0.533871,1.039956,0.23348,0.24007,0.216669,0.316714,0.212964,0.063546,0.048868,0.055071,0.083084,0.064322
2023-01-10,0.01490553,0.797486,0.7991,0.515896,0.42326,0.979765,0.23568,0.227685,0.225174,0.315371,0.20457,0.065282,0.044631,0.057512,0.080746,0.06258
2023-01-11,0.00515001,0.846017,0.756214,0.52763,0.462291,0.919177,0.237853,0.237427,0.228302,0.313295,0.203376,0.06513,0.044602,0.055594,0.081066,0.060378
2023-01-12,0.00333153,0.768274,0.791533,0.527855,0.465468,0.976461,0.242347,0.199062,0.226912,0.332416,0.206707,0.060837,0.042596,0.060304,0.083742,0.057362
2023-01-13,-0.01011207,0.823158,0.808015,0.577592,0.53256,0.996485,0.243054,0.216003,0.219371,0.321955,0.203795,0.068364,0.041072,0.055706,0.083743,0.059063
2023-01-16,-0.01489321,0.79108,0.857704,0.547743,0.484617,0.940185,0.240848,0.21929,0.222802,0.315271,0.192006,0.065251,0.047039,0.05648,0.079947,0.060709
2023-01-17,-0.01250979,0.771996,0.817401,0.632053,0.454897,1.011805,0.236299,0.2225,0.23147,0.313327,0.1975,0.061751,0.044736,0.055242,0.082758,0.057568
2023-01-18,0.00081726,0.810596,0.766169,0.621253,0.508063,0.985695,0.241763,0.218304,0.222575,0.318913,0.217745,0.059906,0.044327,0.05647,0.078501,0.062957
2023-01-19,-0.02769368,0.804658,0.815778,0.52792,0.458907,0.884959,0.245588,0.196192,0.235444,0.308261,0.226801,0.059529,0.042047,0.059037,0.082033,0.057625
2023-01-20,-0.01017468,0.807924,0.812833,0.568259,0.423809,1.000976,0.242199,0.226531,0.23508,0.328366,0.212899,0.067142,0.044652,0.058058,0.08128,0.058663
2023-01-23,-0.00609796,0.80912,0.798173,0.531932,0.449196,0.975204,0.256573,0.232876,0.250971,0.29693,0.20398,0.063396,0.048448,0.055878,0.082116,0.059243
2023-01-24,-0.00465499,0.811454,0.84033,0.541817,0.563441,1.015266,0.24799,0.245465,0.238956,0.313079,0.195112,0.063726,0.045084,0.059743,0.080579,0.06274
2023-01-25,0.0040399,0.914591,0.849918,0.633334,0.500549,1.033261,0.227015,0.224094,0.229127,0.321081,0.188044,0.065809,0.045405,0.058319,0.086788,0.058236
2023-01-26,-0.01655149,0.866907,0.789658,0.553779,0.480149,1.007212,0.245995,0.222892,0.220005,0.32197,0.189862,0.063233,0.046568,0.055048,0.078944,0.055883
2023-01-27,-0.019169,0.851556,0.790104,0.563845,0.47604,1.066457,0.242963,0.203593,0.226215,0.312181,0.19351,0.065898,0.043213,0.052058,0.084417,0.062822
2023-01-30,0.0116522,0.837111,0.762086,0.580735,0.488637,0.992693,0.234014,0.225896,0.22881,0.327207,0.219678,0.064321,0.048105,0.054279,0.079238,0.058436
2023-01-31,-0.00655844,0.862263,0.827777,0.511563,0.492235,1.034407,0.224568,0.236866,0.221431,0.314073,0.21767,0.064188,0.043169,0.056414,0.083018,0.056731
