date,portfolio_return,benchmark_market,benchmark_HML,benchmark_SMB,benchmark_momentum,benchmark_quality,structural_market,structural_HML,structural_SMB,structural_momentum,structural_quality,tactical_market,tactical_HML,tactical_SMB,tactical_momentum,tactical_quality
2023-01-02,-0.00116293,0.506856,0.851163,1.076881,1.697627,0.947582,0.140338,0.107099,0.18737,0.217098,0.151053,0.075737,0.115843,0.154265,0.114483,0.111394
2023-01-03,0.02534911,0.539082,0.831601,1.072894,1.724663,0.932741,0.136177,0.083997,0.176062,0.231036,0.157646,0.084632,0.115104,0.160332,0.11201,0.109977
2023-01-04,0.01151148,0.443221,0.895504,1.077671,1.676708,0.869518,0.151939,0.083723,0.179882,0.226656,0.151362,0.089649,0.113401,0.154885,0.111873,0.091107
2023-01-05,0.02275478,0.463636,0.874558,1.056631,1.69516,0.942824,0.138295,0.097962,0.177205,0.203701,0.158884,0.073483,0.116643,0.154594,0.109477,0.097532
2023-01-06,-0.00602455,0.606888,0.897703,0.967247,1.613019,0.934173,0.150414,0.088887,0.170379,0.211952,0.166634,0.07714,0.118132,0.147932,0.116537,0.098902
2023-01-09,0.00285775,0.492212,0.951939,1.134087,1.719306,0.887692,0.155973,0.088433,0.172366,0.236011,0.153406,0.087311,0.108862,0.148546,0.106416,0.104386
2023-01-10,0.0134406,0.604645,0.855642,1.095023,1.746201,0.858348,0.149191,0.085382,0.165035,0.227466,0.166923,0.079586,0.119262,0.155987,0.113216,0.098188
2023-01-11,-0.00377904,0.469611,0.787525,1.013495,1.703466,0.860288,0.146178,0.096034,0.164987,0.212386,0.162347,0.08373,0.108362,0.158245,0.109202,0.095574
2023-01-12,0.00622554,0.554155,0.846107,1.150142,1.559719,0.926625,0.143903,0.093295,0.159935,0.205024,0.16378,0.082877,0.118875,0.153687,0.121257,0.100073
2023-01-13,-0.02342534,0.507978,0.837281,1.04853,1.738014,0.943488,0.141199,0.093835,0.169418,0.205452,0.160308,0.086195,0.120144,0.159047,0.114824,0.09812
2023-01-16,-0.01283162,0.514085,0.870915,1.071835,1.596814,1.033948,0.138636,0.08774,0.180008,0.220618,0.171577,0.078802,0.122985,0.146946,0.112457,0.103961
2023-01-17,-0.01490935,0.611042,0.790257,1.139062,1.660168,0.925791,0.138136,0.085492,0.162446,0.230751,0.170566,0.070202,0.112318,0.157196,0.10736,0.111471
2023-01-18,-0.01082267,0.445518,0.785032,1.084706,1.69588,0.853073,0.153818,0.088845,0.175912,0.226706,0.162105,0.08651,0.112436,0.151262,0.10734,0.104215
2023-01-19,-0.03357591,0.528962,0.739815,1.127952,1.686852,0.908022,0.131114,0.095739,0.175056,0.200037,0.164742,0.075169,0.122378,0.149191,0.117185,0.106418
